Date,WindSpeed,WindDirection,WindEnergy
27/01/2017 00:00:00,8.09,208,108489.51
28/01/2017 00:00:00,8.67,219,108697.65
29/01/2017 00:00:00,9.97,194,182634.37
30/01/2017 00:00:00,10.54,178,201201.8
31/01/2017 00:00:00,6.73,156,102695.71
01/02/2017 00:00:00,10.61,183,180381.22
02/02/2017 00:00:00,16.03,210,309424.7
03/02/2017 00:00:00,19.27,220,217436.97
04/02/2017 00:00:00,15.28,232,206099.77
05/02/2017 00:00:00,12.96,254,128478.74
06/02/2017 00:00:00,12.19,220,99571.67
07/02/2017 00:00:00,8.87,278,105446.04
08/02/2017 00:00:00,3.41,51,5097.46
09/02/2017 00:00:00,7.73,144,101117.92
10/02/2017 00:00:00,6.17,114,73863.88
11/02/2017 00:00:00,11.27,55,145140.72
12/02/2017 00:00:00,11.19,79,147148.07
13/02/2017 00:00:00,8.01,174,78018.84
14/02/2017 00:00:00,7.01,158,95552.86
15/02/2017 00:00:00,4.01,146,11441.43
16/02/2017 00:00:00,3.75,87,5575.99
17/02/2017 00:00:00,4.38,191,11536.71
18/02/2017 00:00:00,5.66,283,24994.22
19/02/2017 00:00:00,5.35,57,40976.3
20/02/2017 00:00:00,6.58,44,67274.12
21/02/2017 00:00:00,5.98,75,48358.32
22/02/2017 00:00:00,3.76,108,17496.31
23/02/2017 00:00:00,4.33,315,6860.32
24/02/2017 00:00:00,7.91,51,70489.91
25/02/2017 00:00:00,7.02,206,62136.71
26/02/2017 00:00:00,7.54,212,85463.81
27/02/2017 00:00:00,15.18,231,271811.39
28/02/2017 00:00:00,12.93,253,195735.89
01/03/2017 00:00:00,10.53,212,184078.12
02/03/2017 00:00:00,9.42,187,100507.02
03/03/2017 00:00:00,9.55,224,134102.27
04/03/2017 00:00:00,9.5,231,133101.46
05/03/2017 00:00:00,11.52,237,174580.82
06/03/2017 00:00:00,9.69,248,119055.95
07/03/2017 00:00:00,7.75,243,98087.25
08/03/2017 00:00:00,4.28,233,10084.63
09/03/2017 00:00:00,5.03,189,12110.28
10/03/2017 00:00:00,5.7,178,39331.74
11/03/2017 00:00:00,8.73,233,139472.85
12/03/2017 00:00:00,10.23,299,163947.35
13/03/2017 00:00:00,8.46,23,146878.17
14/03/2017 00:00:00,10.36,66,211017.54
15/03/2017 00:00:00,7.67,89,92726.08
16/03/2017 00:00:00,6.22,108,47921.58
17/03/2017 00:00:00,5.94,83,40891.02
18/03/2017 00:00:00,4.49,82,40416.63
19/03/2017 00:00:00,4.35,14,5117.46
20/03/2017 00:00:00,4.53,255,17676.49
21/03/2017 00:00:00,7.22,272,77897.93
22/03/2017 00:00:00,10.39,253,161103.08
23/03/2017 00:00:00,7.22,294,46417.3
24/03/2017 00:00:00,5.25,56,66430.83
25/03/2017 00:00:00,3.89,86,39903.82
26/03/2017 00:00:00,8.42,134,138263.81
27/03/2017 00:00:00,9.12,177,140506.19
28/03/2017 00:00:00,8.1,174,95578.76
29/03/2017 00:00:00,7.9,176,77931
30/03/2017 00:00:00,10.6,174,171017.05
31/03/2017 00:00:00,12.16,219,218585.57
01/04/2017 00:00:00,9.48,274,142588.35
02/04/2017 00:00:00,4.65,39,5906.87
03/04/2017 00:00:00,6.46,344,21660.93
04/04/2017 00:00:00,7.24,37,104379.72
05/04/2017 00:00:00,9.37,60,205038.87
06/04/2017 00:00:00,10.16,75,182180.67
07/04/2017 00:00:00,7.15,97,61614.6
08/04/2017 00:00:00,6.12,213,22017.18
09/04/2017 00:00:00,5.86,98,36127.47
10/04/2017 00:00:00,7.33,82,57081.51
11/04/2017 00:00:00,6.97,103,75891.87
12/04/2017 00:00:00,4.58,119,28154.86
13/04/2017 00:00:00,4.77,238,8250.8
14/04/2017 00:00:00,5.22,245,12450.72
15/04/2017 00:00:00,5.42,41,31456.59
16/04/2017 00:00:00,6.88,87,73998.22
17/04/2017 00:00:00,5.08,87,38931.19
18/04/2017 00:00:00,8.11,69,122754.26
19/04/2017 00:00:00,13.24,58,294198.89
20/04/2017 00:00:00,9.54,65,164058.35
21/04/2017 00:00:00,8.16,92,79902.34
22/04/2017 00:00:00,5.73,99,21912.86
23/04/2017 00:00:00,5.88,56,16867.72
24/04/2017 00:00:00,5.77,254,6445.13
25/04/2017 00:00:00,5.96,306,46478.29
26/04/2017 00:00:00,8.01,24,125132.89
27/04/2017 00:00:00,8.76,44,184590.39
28/04/2017 00:00:00,8.66,65,159901.01
